size,p,lam,algo,time_ms,cost,exact_cost,flops
200,1.0,100,Greenkhorn,82.63,0.26697450289675284,0.311295008284933,nan
200,1.0,200,Sinkhorn,744.14,0.2940004839333647,0.311295008284933,20000000
200,1.0,200,LP,256.55,0.311295008284933,0.311295008284933,nan
200,1.0,200,Greenkhorn,83.89,0.25794875506049914,0.311295008284933,nan
200,1.0,400,Sinkhorn,1091.39,0.28602634501361746,0.311295008284933,20000000
200,1.0,400,LP,267.21,0.311295008284933,0.311295008284933,nan
200,1.0,400,Greenkhorn,107.85,nan,0.311295008284933,nan
200,2.0,20,Sinkhorn,884.79,0.13037801448785363,0.10614059493375569,20000000
200,2.0,20,LP,265.86,0.10614059493375569,0.10614059493375569,nan
200,2.0,20,Greenkhorn,82.17,0.12271866270397963,0.10614059493375569,nan
200,2.0,50,Sinkhorn,867.99,0.111974669436549,0.10614059493375569,20000000
200,2.0,50,LP,272.54,0.10614059493375569,0.10614059493375569,nan
200,2.0,50,Greenkhorn,82.47,0.09658583948285655,0.10614059493375569,nan
200,2.0,100,Sinkhorn,817.07,0.10759952348626145,0.10614059493375569,20000000
200,2.0,100,LP,268.46,0.10614059493375569,0.10614059493375569,nan
200,2.0,100,Greenkhorn,84.16,0.08568149945839718,0.10614059493375569,nan
200,2.0,200,Sinkhorn,1038.90,0.10475666132244199,0.10614059493375569,20000000
200,2.0,200,LP,277.67,0.10614059493375569,0.10614059493375569,nan
200,2.0,200,Greenkhorn,85.41,0.07438095970534395,0.10614059493375569,nan
200,2.0,400,Sinkhorn,1119.91,0.09527195506667967,0.10614059493375569,20000000
200,2.0,400,LP,268.41,0.10614059493375569,0.10614059493375569,nan
200,2.0,400,Greenkhorn,107.35,nan,0.10614059493375569,nan
400,1.0,20,Sinkhorn,2832.59,0.2745336469922304,0.25249481883224617,80000000
400,1.0,20,LP,2026.19,0.25249481883224617,0.25249481883224617,nan
400,1.0,20,Greenkhorn,92.39,0.25117917337259454,0.25249481883224617,nan
400,1.0,50,Sinkhorn,2327.95,0.25607832628501,0.25249481883224617,80000000
400,1.0,50,LP,2075.66,0.25249481883224617,0.25249481883224617,nan
400,1.0,50,Greenkhorn,91.01,0.22053655371585928,0.25249481883224617,nan
400,1.0,100,Sinkhorn,2109.98,0.24552008529979893,0.25249481883224617,80000000
400,1.0,100,LP,1957.12,0.25249481883224617,0.25249481883224617,nan
400,1.0,100,Greenkhorn,93.82,0.20161515474625777,0.25249481883224617,nan
400,1.0,200,Sinkhorn,2517.74,0.23627660594692582,0.25249481883224617,80000000
400,1.0,200,LP,1978.15,0.25249481883224617,0.25249481883224617,nan
400,1.0,200,Greenkhorn,93.17,0.18573667828857132,0.25249481883224617,nan
